X1,provinceID,cityID,districtID,validVote,invalidVote,totalVotes,voters,population,name,year,DPP_votes,DPP_elected,KMT_votes,KMT_elected,highest_vote,second_highest_vote,validVote_last,DPP_votes_last,DPP_elected_last,KMT_votes_last,KMT_elected_last,highest_vote_last,second_highest_vote_last,DPP_share,KMT_share,first_share,second_share,DPP_share_last,KMT_share_last,first_share_last,second_share_last,margin_2_DPP_pos,margin_2_KMT_pos,margin_all_DPP_pos,margin_all_KMT_pos,margin_2_DPP_pos_last,margin_2_KMT_pos_last,margin_all_DPP_pos_last,margin_all_KMT_pos_last
52,6,4,2,165880,3172,169052,224923,289714,苗栗縣第02選區,2012,47022,FALSE,118858,TRUE,118858,47022,126859,18905,FALSE,57880,TRUE,57880,48290,0.2834699782975645,0.7165300217024355,0.7165300217024355,0.2834699782975645,0.14902371924735336,0.4562545818585989,0.4562545818585989,0.38065884170614617,-0.43306004340487103,0.43306004340487103,-0.43306004340487103,0.43306004340487103,-0.30723086261124555,0.30723086261124555,-0.30723086261124555,0.07559574015245274
53,6,5,1,178998,2977,181975,239563,315012,彰化縣第01選區,2012,62640,FALSE,63026,TRUE,63026,62640,149523,31516,FALSE,67236,TRUE,67236,50771,0.34994804411222474,0.3521044927876289,0.3521044927876289,0.34994804411222474,0.21077693732736769,0.4496699504424069,0.4496699504424069,0.33955311223022544,-0.0021564486754041545,0.0021564486754041545,-0.0021564486754041545,0.0021564486754041545,-0.2388930131150392,0.2388930131150392,-0.2388930131150392,0.11011683821218143
54,6,5,2,173266,3114,176380,233100,305656,彰化縣第02選區,2012,77158,FALSE,96108,TRUE,96108,77158,129727,47809,FALSE,77871,TRUE,77871,47809,0.44531529555712024,0.5546847044428798,0.5546847044428798,0.44531529555712024,0.3685354629336992,0.6002682556445459,0.6002682556445459,0.3685354629336992,-0.10936940888575952,0.10936940888575952,-0.10936940888575952,0.10936940888575952,-0.23173279271084668,0.23173279271084668,-0.23173279271084668,0.23173279271084668
55,6,5,3,181321,6885,188206,269777,344698,彰化縣第03選區,2012,79969,FALSE,101352,TRUE,101352,79969,151070,46595,FALSE,68486,TRUE,68486,46595,0.44103551160648796,0.5589644883935121,0.5589644883935121,0.44103551160648796,0.30843317667306547,0.45333951148474216,0.45333951148474216,0.30843317667306547,-0.11792897678702413,0.11792897678702413,-0.11792897678702413,0.11792897678702413,-0.1449063348116767,0.1449063348116767,-0.1449063348116767,0.1449063348116767
56,6,5,4,183292,5273,188565,257151,332584,彰化縣第04選區,2012,92085,TRUE,91207,FALSE,92085,91207,147780,54808,FALSE,60980,TRUE,60980,54808,0.502395085437444,0.4976049145625559,0.502395085437444,0.4976049145625559,0.37087562593043716,0.4126404114223846,0.4126404114223846,0.37087562593043716,0.004790170874888144,-0.004790170874888144,0.004790170874888144,-0.004790170874888144,-0.041764785491947454,0.041764785491947454,-0.041764785491947454,0.041764785491947454
57,6,6,1,129559,2415,131974,186574,235571,南投縣第01選區,2012,49950,FALSE,78083,TRUE,78083,49950,95784,31489,FALSE,64295,TRUE,64295,31489,0.3855386349076482,0.6026829475374154,0.6026829475374154,0.3855386349076482,0.3287501044015702,0.6712498955984298,0.6712498955984298,0.3287501044015702,-0.21714431262976713,0.21714431262976713,-0.21714431262976713,0.21714431262976713,-0.34249979119685964,0.34249979119685964,-0.34249979119685964,0.34249979119685964
58,6,6,2,145455,2094,147549,204413,258867,南投縣第02選區,2012,66447,FALSE,79008,TRUE,79008,66447,107614,44397,FALSE,62344,TRUE,62344,44397,0.45682169743219553,0.5431783025678045,0.5431783025678045,0.45682169743219553,0.41255784563346776,0.5793298269741856,0.5793298269741856,0.41255784563346776,-0.086356605135609,0.086356605135609,-0.086356605135609,0.086356605135609,-0.1667719813407178,0.1667719813407178,-0.1667719813407178,0.1667719813407178
59,6,7,1,180024,4133,184157,278433,349977,雲林縣第01選區,2012,89213,FALSE,90811,TRUE,90811,89213,153919,64921,FALSE,86571,TRUE,86571,64921,0.49556170288405993,0.5044382971159401,0.5044382971159401,0.49556170288405993,0.421786783957796,0.5624451822062253,0.5624451822062253,0.421786783957796,-0.008876594231880197,0.008876594231880197,-0.008876594231880197,0.008876594231880197,-0.1406583982484293,0.1406583982484293,-0.1406583982484293,0.1406583982484293
60,6,7,2,199017,3281,202298,281295,361697,雲林縣第02選區,2012,121368,TRUE,73832,FALSE,121368,73832,161131,61703,FALSE,79138,TRUE,79138,61703,0.6098373505780913,0.37098338332906233,0.6098373505780913,0.37098338332906233,0.38293686503528185,0.49114074883169595,0.49114074883169595,0.38293686503528185,0.23885396724902896,-0.23885396724902896,0.23885396724902896,-0.23885396724902896,-0.1082038837964141,0.1082038837964141,-0.1082038837964141,0.1082038837964141
61,6,8,1,146067,3745,149812,202958,252143,嘉義縣第01選區,2012,72586,FALSE,73481,TRUE,73481,72586,131349,55860,FALSE,75489,TRUE,75489,55860,0.49693633743419113,0.5030636625658088,0.5030636625658088,0.49693633743419113,0.4252792179613092,0.5747207820386908,0.5747207820386908,0.4252792179613092,-0.006127325131617678,0.006127325131617678,-0.006127325131617678,0.006127325131617678,-0.14944156407738163,0.14944156407738163,-0.14944156407738163,0.14944156407738163
62,6,8,2,157305,2242,159547,222969,280252,嘉義縣第02選區,2012,86828,TRUE,70477,FALSE,86828,70477,114263,65192,TRUE,48131,FALSE,65192,48131,0.5519722831442103,0.4480277168557897,0.5519722831442103,0.4480277168557897,0.5705433954998556,0.4212299694564295,0.5705433954998556,0.4212299694564295,0.10394456628842064,-0.10394456628842064,0.10394456628842064,-0.10394456628842064,0.14931342604342607,-0.14931342604342607,0.14931342604342607,-0.14931342604342607
63,6,9,1,162419,3282,165701,225734,280766,屏東縣第01選區,2012,94538,TRUE,55161,FALSE,94538,55161,135278,63453,TRUE,0,FALSE,63453,58727,0.5820624434333421,0.33962159599554237,0.5820624434333421,0.33962159599554237,0.4690563136651932,0,0.4690563136651932,0.43412084744008633,0.24244084743779976,-0.24244084743779976,0.24244084743779976,-0.24244084743779976,0.4690563136651932,-0.4690563136651932,0.03493546622510685,-0.4690563136651932
64,6,9,2,156682,2080,158762,211995,269786,屏東縣第02選區,2012,75986,FALSE,80696,TRUE,80696,75986,121468,52441,FALSE,69027,TRUE,69027,52441,0.48496955617109816,0.5150304438289018,0.5150304438289018,0.48496955617109816,0.4317268745677874,0.5682731254322126,0.5682731254322126,0.4317268745677874,-0.03006088765780368,0.03006088765780368,-0.03006088765780368,0.03006088765780368,-0.13654625086442523,0.13654625086442523,-0.13654625086442523,0.13654625086442523
