villID,mayoral,presidential,univ_pr
10002110002,81.83318900194848,72.4264232203493,7
10002110003,79.93248127015138,68.5096460092316,7
10002110004,73.29595791805095,68.03518038053886,1
10002110005,79.39048336336982,67.1290571070526,1
10002110006,85.38788143327645,68.95894081397378,0
10002110007,64.04595404595405,57.56506184674533,3
10002110008,85.97495952043974,70.52463969070037,2
10002110009,89.85928368539619,72.15942452368299,0
10002110010,88.06573589296102,70.03871998221881,2
10002120001,80.20778737577652,69.76170235363715,11
10002120002,82.88736650126961,70.09624798662881,0
10002120003,85.4411386435737,74.21426524413253,14
10002120004,82.12776369055562,66.68600214291398,1
10002120005,77.96590829295695,70.90546663038474,6
10002120006,81.8928219266295,67.13913479617612,2
10002120007,80.49916432269373,69.72621451130499,1
10004010001,61.78857940967616,77.61474709948871,99
10004010002,62.64878508113156,78.54927490303324,100
10004010003,55.999760050490586,77.68524066688155,100
10004010004,61.62604660279231,77.31442439347246,100
10004010005,69.70852584205392,78.61031430710317,98
10004010006,68.46338502596484,72.99068366332382,66
10004010007,62.388440853244354,73.92912894783666,93
10004010008,64.38666813007687,75.0959051611903,87
10004010009,60.4222552354829,71.03450241790098,84
10004010010,63.135595844957166,73.040559167061,83
10004010011,63.533895086898994,72.760420399495,84
10004010012,69.93866265207042,75.32826125621975,74
10004010013,70.78536936514308,75.57618515090576,70
10004010014,71.33969071893532,75.76345238469199,68
10004010015,74.76146795178379,74.52042306376732,53
10004010016,76.98425124416173,75.3645215791823,50
10004010017,78.09204759509319,74.00432865966539,55
10004010018,78.22883666727121,75.22976914434793,39
10004010019,66.92546369746265,74.2450726920186,81
10004010020,80.92907538041355,74.86131116728495,31
10004010021,60.18978957444607,76.73252016799252,100
10004010022,65.41703817853929,74.19672935261814,89
10004010023,68.72229706528042,73.35691818552013,42
10004010024,67.08005861676918,77.14253438486496,93
10004010025,64.75316964552137,76.30373366992139,90
10004010026,69.97163473298434,74.73889005749511,81
10004010027,60.23423884367555,72.7967577855838,99
10004010028,60.36324704865744,73.46721987220147,100
10004010029,63.803156432210336,72.11505534806565,99
10004010030,66.39668255043944,74.68174603174603,98
10004010031,64.41235605922135,80.5228987541674,100
10004020001,78.18628838488365,69.08316170202302,3
10004020002,66.56086496680149,72.14131282331213,27
10004020003,79.98755965892116,71.4854211626091,20
10004020004,67.34897742125746,72.4859517020346,66
10004020005,66.69958612373887,74.32217909983136,68
10004020006,62.41933548810082,72.54891512803295,62
10004020007,64.64653150272474,71.9510781591129,64
10004020008,67.76992930294058,76.9765064687179,82
10004020009,58.79816739271398,67.4521974648578,57
10004020010,72.49691200384103,77.6225946667686,80
10004020011,71.63472899336485,75.27916785060472,76
10004020012,65.17808097663601,74.28550933091755,65
10004020013,67.94768528645855,74.99552371854213,61
10004020014,60.301965240091945,70.53721573567692,67
10004020015,62.24183246581547,73.99316718455619,88
10004020016,63.972116709365224,75.7915306714425,88
10004020017,72.71759500667206,76.97641809393888,74
10004020018,75.96598621799761,75.50545549223952,34
10004020019,60.648913683371845,74.0391153605141,91
10004020020,71.71686297397936,75.94556839537344,59
10004020021,71.01378826278554,76.22089643390926,61
10004020022,71.75627347120631,75.40339745738936,83
10004020023,65.88618616167713,75.74324384067356,77
10004020024,67.64906328607083,74.32269574962518,72
10004020025,82.69768725502598,77.06611525294086,52
10004030001,73.11821959748235,72.41429255236642,44
10004030002,75.02260084301699,76.1806388034863,53
10004030003,65.77071593559059,73.75159451357715,67
10004030004,72.87560822661213,73.00289338818945,37
10004030005,71.82343358251785,74.84652136387143,73
10004030006,66.83132708146306,71.74953211178156,56
10004030007,70.4325702921491,75.50372740775498,73
10004030008,72.90334438267254,76.33300120070513,70
10004030009,72.80925972313369,77.00963135321457,76
10004030010,71.62488281369333,73.23488696705874,70
10004030011,71.30810190601207,73.02946616332937,51
10004030012,69.95522446503811,73.84651011621978,64
10004030013,74.38497999905778,76.14483903201027,37
10004030014,78.33739670547719,75.884850170687,33
10004030015,78.46411164255838,77.04803987887736,46
10004030016,72.03198287489393,72.44746026690463,45
10004030017,84.38493190186192,77.38437945069013,25
10004030018,78.30686213778073,74.98428385028137,41
10004030019,79.33075933075934,77.04458654623969,21
10004040001,77.85233280263552,78.99076985421485,50
10004040002,70.92378562158686,75.32162101889026,65
10004040003,77.18428689668126,76.14630845709068,50
10004040004,70.02540341466504,73.96270517015105,64
10004040005,72.73358379499352,72.70798456171565,44
10004040006,77.93378861022804,75.46419187955784,31
10004040007,77.00536867923053,71.48398351765766,32
10004040008,67.0204604749255,72.97386333556373,43
10004040009,75.26905879759387,73.76681550171229,41
10004040010,72.88387587025989,70.97964841595572,17
10004040011,76.14987096254795,69.1556891519331,8
10004040012,70.38957864941158,68.65218741832565,6
10004040013,74.25284339354437,69.71574499136112,10
10004040014,81.494008561646325,77.8091081973881,43
10004040015,78.73283488739644,74.34095415009767,49
10004040016,80.64554376449763,75.33634309444726,35
10004040017,85.640903991119,77.18753109532582,28
10004040018,81.34992796791164,76.86855429189997,42
10004040019,78.40732091413017,74.00276013375235,18
10004040020,74.4835242331377,72.08042211415788,16
10004040021,76.58485809200259,74.55403488586558,23
10004050001,73.82596144129643,77.28404250524665,78
10004050002,77.24645416245556,75.70093772262331,75
10004050003,72.97398829571088,76.24403687198821,73
10004050004,69.01396256112822,71.73272808625865,73
10004050005,75.5138989396377,76.28580226696828,71
10004050006,70.03214040874889,73.11646075727361,57
10004050007,75.30407255077925,74.55269052391951,44
10004050008,70.70528426589922,73.81594615702653,45
10004050009,76.09665637472702,75.0199566051913,40
10004050010,73.11525591471823,74.38993609542527,57
10004050011,72.4882439889256,76.20204914968788,69
10004050012,70.44916309573011,74.00580020129297,54
10004050013,65.38301858324742,69.14365271498261,56
10004050014,61.109062410557414,68.83326125606806,55
10004050015,64.7698381623019,71.48733943564092,47
10004050016,61.71355835153426,71.1151012007753,52
10004050017,71.28417928283491,74.17357513646147,66
10004050018,73.42838990888401,78.27709955083657,76
10004050019,70.97089185547354,73.38915357196856,51
10004050020,62.767857598913054,71.31458765319276,50
10004060001,69.3165380906461,74.32235122744724,31
10004060002,69.42485384074502,72.53638827784394,30
10004060003,68.26706940949991,73.14525925706275,35
10004060004,67.03346280229071,70.74634720056817,39
10004060005,67.85848590275134,69.91805091326822,33
10004060006,77.90876064612193,72.37744330275522,25
10004060007,66.40065306217988,71.73397137027675,45
10004060008,63.81087508942913,70.35032834709146,59
10004060009,71.36696887129091,74.19153932156338,28
10004060010,63.568668789138414,73.8965046824037,77
10004060011,63.64881517588553,73.85881963239531,83
10004060012,70.41533746822998,72.01852248130176,48
10004060013,76.68862345003824,72.42425886484436,37
10004060014,63.743034166742575,73.74908596318619,86
10004060015,64.27738415810617,73.38159521394786,83
10004060016,60.27407770408945,71.0981089555559,92
10004060017,64.81876143715044,69.6847901324623,65
10004070001,89.44656488549617,78.01257612630093,47
10004070002,83.88965954146778,74.50124280481424,8
10004070003,81.16307729851748,76.01069779602052,49
10004070004,78.95178906379847,74.66504426685066,49
10004070005,72.95490711744995,73.54924790359689,56
10004070006,76.08428401252657,74.5872459225125,52
10004070007,81.78518499554826,75.1186284728349,28
10004070008,79.08202770074348,73.82975001336357,20
10004070009,74.18736917956284,75.51271215685948,68
10004070010,80.17589021008001,78.67000004264324,68
10004070011,72.10102296830019,76.88670353332284,87
